region_id,year,annual_value,cummulative_value,source
WRL,1950,2000000,2000000,Geyer et al. (2017); OECD (2022)
WRL,1951,2000000,4000000,Geyer et al. (2017); OECD (2022)
WRL,1952,2000000,6000000,Geyer et al. (2017); OECD (2022)
WRL,1953,3000000,9000000,Geyer et al. (2017); OECD (2022)
WRL,1954,3000000,12000000,Geyer et al. (2017); OECD (2022)
WRL,1955,4000000,16000000,Geyer et al. (2017); OECD (2022)
WRL,1956,5000000,21000000,Geyer et al. (2017); OECD (2022)
WRL,1957,5000000,26000000,Geyer et al. (2017); OECD (2022)
WRL,1958,6000000,32000000,Geyer et al. (2017); OECD (2022)
WRL,1959,7000000,39000000,Geyer et al. (2017); OECD (2022)
WRL,1960,8000000,47000000,Geyer et al. (2017); OECD (2022)
WRL,1961,9000000,56000000,Geyer et al. (2017); OECD (2022)
WRL,1962,11000000,67000000,Geyer et al. (2017); OECD (2022)
WRL,1963,13000000,80000000,Geyer et al. (2017); OECD (2022)
WRL,1964,15000000,95000000,Geyer et al. (2017); OECD (2022)
WRL,1965,17000000,112000000,Geyer et al. (2017); OECD (2022)
WRL,1966,20000000,132000000,Geyer et al. (2017); OECD (2022)
WRL,1967,23000000,155000000,Geyer et al. (2017); OECD (2022)
WRL,1968,27000000,182000000,Geyer et al. (2017); OECD (2022)
WRL,1969,32000000,214000000,Geyer et al. (2017); OECD (2022)
WRL,1970,35000000,249000000,Geyer et al. (2017); OECD (2022)
WRL,1971,38000000,287000000,Geyer et al. (2017); OECD (2022)
WRL,1972,44000000,331000000,Geyer et al. (2017); OECD (2022)
WRL,1973,51000000,382000000,Geyer et al. (2017); OECD (2022)
WRL,1975,46000000,428000000,Geyer et al. (2017); OECD (2022)
WRL,1976,54000000,482000000,Geyer et al. (2017); OECD (2022)
WRL,1977,59000000,541000000,Geyer et al. (2017); OECD (2022)
WRL,1978,64000000,605000000,Geyer et al. (2017); OECD (2022)
WRL,1979,71000000,676000000,Geyer et al. (2017); OECD (2022)
WRL,1980,70000000,746000000,Geyer et al. (2017); OECD (2022)
WRL,1981,72000000,818000000,Geyer et al. (2017); OECD (2022)
WRL,1982,73000000,891000000,Geyer et al. (2017); OECD (2022)
WRL,1983,80000000,971000000,Geyer et al. (2017); OECD (2022)
WRL,1984,86000000,1057000000,Geyer et al. (2017); OECD (2022)
WRL,1985,90000000,1147000000,Geyer et al. (2017); OECD (2022)
WRL,1986,96000000,1243000000,Geyer et al. (2017); OECD (2022)
WRL,1987,104000000,1347000000,Geyer et al. (2017); OECD (2022)
WRL,1988,110000000,1457000000,Geyer et al. (2017); OECD (2022)
WRL,1989,114000000,1571000000,Geyer et al. (2017); OECD (2022)
WRL,1990,120000000,1691000000,Geyer et al. (2017); OECD (2022)
WRL,1991,124000000,1815000000,Geyer et al. (2017); OECD (2022)
WRL,1992,132000000,1947000000,Geyer et al. (2017); OECD (2022)
WRL,1993,137000000,2084000000,Geyer et al. (2017); OECD (2022)
WRL,1994,151000000,2235000000,Geyer et al. (2017); OECD (2022)
WRL,1995,156000000,2391000000,Geyer et al. (2017); OECD (2022)
WRL,1996,168000000,2559000000,Geyer et al. (2017); OECD (2022)
WRL,1997,180000000,2739000000,Geyer et al. (2017); OECD (2022)
WRL,1998,188000000,2927000000,Geyer et al. (2017); OECD (2022)
WRL,1999,202000000,3129000000,Geyer et al. (2017); OECD (2022)
WRL,2000,213000000,3342000000,Geyer et al. (2017); OECD (2022)
WRL,2001,218000000,3560000000,Geyer et al. (2017); OECD (2022)
WRL,2002,231000000,3791000000,Geyer et al. (2017); OECD (2022)
WRL,2003,241000000,4032000000,Geyer et al. (2017); OECD (2022)
WRL,2004,256000000,4288000000,Geyer et al. (2017); OECD (2022)
WRL,2005,263000000,4551000000,Geyer et al. (2017); OECD (2022)
WRL,2006,280000000,4831000000,Geyer et al. (2017); OECD (2022)
WRL,2007,295000000,5126000000,Geyer et al. (2017); OECD (2022)
WRL,2008,281000000,5407000000,Geyer et al. (2017); OECD (2022)
WRL,2009,288000000,5695000000,Geyer et al. (2017); OECD (2022)
WRL,2010,313000000,6008000000,Geyer et al. (2017); OECD (2022)
WRL,2011,325000000,6333000000,Geyer et al. (2017); OECD (2022)
WRL,2012,338000000,6671000000,Geyer et al. (2017); OECD (2022)
WRL,2013,352000000,7023000000,Geyer et al. (2017); OECD (2022)
WRL,2014,367000000,7390000000,Geyer et al. (2017); OECD (2022)
WRL,2015,381000000,7771000000,Geyer et al. (2017); OECD (2022)
WRL,2016,400050000,8171050000,Geyer et al. (2017); OECD (2022)
WRL,2017,420052500,8591102500,Geyer et al. (2017); OECD (2022)
WRL,2018,441055125,9032157625,Geyer et al. (2017); OECD (2022)
WRL,2019,459746016,9491903641,Geyer et al. (2017); OECD (2022)
