region_id,polymer_id,value_percent,value_tonnes,year,source
WRL,ABASAN,1.9,8944000,2019,OECD (2022)
WRL,BIO,0.5,2326000,2019,OECD (2022)
WRL,ELAST,1.7,7734000,2019,OECD (2022)
WRL,FIB,13.1,60448000,2019,OECD (2022)
WRL,HDPE,12.1,55544000,2019,OECD (2022)
WRL,LLDPE,11.8,54303000,2019,OECD (2022)
WRL,MC,0.1,541000,2019,OECD (2022)
WRL,OTH,17.6,80960000,2019,OECD (2022)
WRL,PET,5.4,24918000,2019,OECD (2022)
WRL,PP,15.8,72805000,2019,OECD (2022)
WRL,PS,4.6,21116000,2019,OECD (2022)
WRL,PUR,3.9,18032000,2019,OECD (2022)
WRL,PVC,11.2,51392000,2019,OECD (2022)
WRL,RMC,0.1,682000,2019,OECD (2022)
WRL,TOTAL,100,459746000,2019,OECD (2022)
