region_id,method_id,value_percent,value_tonnes,year,source
AMCS,REC,9.6,3605544,2019,OECD (2022)
AMCS,INC,1.2,437477,2019,OECD (2022)
AMCS,MM,29.2,11012168,2019,OECD (2022)
AMCS,LNDF,60.1,22682422,2019,OECD (2022)
ASIA,REC,8.4,4539530,2019,OECD (2022)
ASIA,INC,18.5,10063553,2019,OECD (2022)
ASIA,MM,33.7,18343350,2019,OECD (2022)
ASIA,LNDF,39.4,21410950,2019,OECD (2022)
CHN,REC,12.8,8376888,2019,OECD (2022)
CHN,INC,23.8,15550022,2019,OECD (2022)
CHN,MM,27.1,17702495,2019,OECD (2022)
CHN,LNDF,36.4,23809200,2019,OECD (2022)
EUR,REC,12.4,8587226,2019,OECD (2022)
EUR,INC,37.7,26173672,2019,OECD (2022)
EUR,MM,5.7,3929826,2019,OECD (2022)
EUR,LNDF,44.2,30648296,2019,OECD (2022)
IND,REC,13.3,2469077,2019,OECD (2022)
IND,INC,4.2,770517,2019,OECD (2022)
IND,MM,46.2,8558165,2019,OECD (2022)
IND,LNDF,36.3,6720652,2019,OECD (2022)
MENA,REC,5.4,921618,2019,OECD (2022)
MENA,INC,0.6,102777,2019,OECD (2022)
MENA,MM,39.8,6732529,2019,OECD (2022)
MENA,LNDF,54.1,9160226,2019,OECD (2022)
OCN,REC,6.9,130054,2019,OECD (2022)
OCN,INC,11.5,217830,2019,OECD (2022)
OCN,MM,6.8,127853,2019,OECD (2022)
OCN,LNDF,74.9,1417077,2019,OECD (2022)
SSAFR,REC,5.7,929337,2019,OECD (2022)
SSAFR,INC,0.5,82107,2019,OECD (2022)
SSAFR,MM,63.6,10335598,2019,OECD (2022)
SSAFR,LNDF,30.2,4902004,2019,OECD (2022)
USA,REC,4.5,3269750,2019,OECD (2022)
USA,INC,19.1,13897049,2019,OECD (2022)
USA,MM,3.6,2587695,2019,OECD (2022)
USA,LNDF,72.9,53086564,2019,OECD (2022)
WRL,REC,9.3,32829024,2019,OECD (2022)
WRL,INC,19,67295010,2019,OECD (2022)
WRL,MM,22.5,79329675,2019,OECD (2022)
WRL,LNDF,49.2,173837392,2019,OECD (2022)
