region_id,sector_id,value_percent,value_tonnes,year,source
AMCS,PACK,11.6,16507219.44,2019,Ryberg et al. (2019); OECD (2022)
AMCS,B&C,5.6,7017269.4,2019,Ryberg et al. (2019); OECD (2022)
AMCS,OTH,12.1,5176382.04,2019,Ryberg et al. (2019); OECD (2022)
AMCS,TRANSP,7.8,3077025.05,2019,Ryberg et al. (2019); OECD (2022)
AMCS,CONS&IP,12.2,3024489.5,2019,Ryberg et al. (2019); OECD (2022)
AMCS,TXTL,7.8,911823.688,2019,Ryberg et al. (2019); OECD (2022)
AMCS,ELEC,11.5,1605127.27,2019,Ryberg et al. (2019); OECD (2022)
AMCS,IND,22.4,295656.4488,2019,Ryberg et al. (2019); OECD (2022)
AMCS,RM,13.0,75242.069,2019,Ryberg et al. (2019); OECD (2022)
AMCS,MC,9.5,45779.774,2019,Ryberg et al. (2019); OECD (2022)
AMCS,PCP,5.9,1598.427,2019,Ryberg et al. (2019); OECD (2022)
AMCS,TOTAL,10.7,37737603,2019,Ryberg et al. (2019); OECD (2022)
ASIA,PACK,13.8,19596658,2019,Ryberg et al. (2019); OECD (2022)
ASIA,B&C,15.1,7538514.5,2019,Ryberg et al. (2019); OECD (2022)
ASIA,OTH,13.1,5898839,2019,Ryberg et al. (2019); OECD (2022)
ASIA,TRANSP,23.3,9245703,2019,Ryberg et al. (2019); OECD (2022)
ASIA,CONS&IP,13.9,7251795,2019,Ryberg et al. (2019); OECD (2022)
ASIA,TXTL,18.7,2459699.5,2019,Ryberg et al. (2019); OECD (2022)
ASIA,ELEC,15.7,2190889.5,2019,Ryberg et al. (2019); OECD (2022)
ASIA,IND,0.3,3958.1282,2019,Ryberg et al. (2019); OECD (2022)
ASIA,RM,16.7,97036.74,2019,Ryberg et al. (2019); OECD (2022)
ASIA,MC,14.2,68495.67,2019,Ryberg et al. (2019); OECD (2022)
ASIA,PCP,21.2,5794.674,2019,Ryberg et al. (2019); OECD (2022)
ASIA,TOTAL,15.4,54357384,2019,Ryberg et al. (2019); OECD (2022)
CHN,PACK,20.9,29627014,2019,Ryberg et al. (2019); OECD (2022)
CHN,B&C,4.5,10871125,2019,Ryberg et al. (2019); OECD (2022)
CHN,OTH,18.8,8345768,2019,Ryberg et al. (2019); OECD (2022)
CHN,TRANSP,13.9,5530236,2019,Ryberg et al. (2019); OECD (2022)
CHN,CONS&IP,19.6,7578562,2019,Ryberg et al. (2019); OECD (2022)
CHN,TXTL,19.6,730756.7,2019,Ryberg et al. (2019); OECD (2022)
CHN,ELEC,17.3,2414041.5,2019,Ryberg et al. (2019); OECD (2022)
CHN,IND,12.7,167253.42,2019,Ryberg et al. (2019); OECD (2022)
CHN,RM,17.0,98435.586,2019,Ryberg et al. (2019); OECD (2022)
CHN,MC,14.8,71422.695,2019,Ryberg et al. (2019); OECD (2022)
CHN,PCP,14.6,3989.8608,2019,Ryberg et al. (2019); OECD (2022)
CHN,TOTAL,18.5,65438610,2019,Ryberg et al. (2019); OECD (2022)
EUR,PACK,18.7,26558144,2019,Ryberg et al. (2019); OECD (2022)
EUR,B&C,44.8,11550907,2019,Ryberg et al. (2019); OECD (2022)
EUR,OTH,20.0,8009922.5,2019,Ryberg et al. (2019); OECD (2022)
EUR,TRANSP,18.4,7283578.5,2019,Ryberg et al. (2019); OECD (2022)
EUR,CONS&IP,18.8,5281686,2019,Ryberg et al. (2019); OECD (2022)
EUR,TXTL,13.6,7282261,2019,Ryberg et al. (2019); OECD (2022)
EUR,ELEC,19.6,2725873,2019,Ryberg et al. (2019); OECD (2022)
EUR,IND,34.3,451709.62,2019,Ryberg et al. (2019); OECD (2022)
EUR,RM,19.0,109863.5,2019,Ryberg et al. (2019); OECD (2022)
EUR,MC,16.8,81224.766,2019,Ryberg et al. (2019); OECD (2022)
EUR,PCP,14.1,3850.1152,2019,Ryberg et al. (2019); OECD (2022)
EUR,TOTAL,19.6,69339020,2019,Ryberg et al. (2019); OECD (2022)
IND,PACK,5.2,7420292.5,2019,Ryberg et al. (2019); OECD (2022)
IND,B&C,1.0,2353677,2019,Ryberg et al. (2019); OECD (2022)
IND,OTH,4.1,2234836.5,2019,Ryberg et al. (2019); OECD (2022)
IND,TRANSP,3.9,1551397.2,2019,Ryberg et al. (2019); OECD (2022)
IND,CONS&IP,5.2,4144764.2,2019,Ryberg et al. (2019); OECD (2022)
IND,TXTL,10.7,162761.8,2019,Ryberg et al. (2019); OECD (2022)
IND,ELEC,4.1,574950.44,2019,Ryberg et al. (2019); OECD (2022)
IND,IND,0.1,666.755,2019,Ryberg et al. (2019); OECD (2022)
IND,RM,5.8,33475.508,2019,Ryberg et al. (2019); OECD (2022)
IND,MC,7.6,36657.723,2019,Ryberg et al. (2019); OECD (2022)
IND,PCP,18.1,4931.658,2019,Ryberg et al. (2019); OECD (2022)
IND,TOTAL,5.2,18518412,2019,Ryberg et al. (2019); OECD (2022)
MENA,PACK,4.9,6927058.5,2019,Ryberg et al. (2019); OECD (2022)
MENA,B&C,4.2,2690094.2,2019,Ryberg et al. (2019); OECD (2022)
MENA,OTH,4.7,2027743.4,2019,Ryberg et al. (2019); OECD (2022)
MENA,TRANSP,5.0,1971865.5,2019,Ryberg et al. (2019); OECD (2022)
MENA,CONS&IP,4.8,1880194.6,2019,Ryberg et al. (2019); OECD (2022)
MENA,TXTL,4.9,683772.2,2019,Ryberg et al. (2019); OECD (2022)
MENA,ELEC,4.8,665814.06,2019,Ryberg et al. (2019); OECD (2022)
MENA,IND,0.0,67.399994,2019,Ryberg et al. (2019); OECD (2022)
MENA,RM,5.8,33869.895,2019,Ryberg et al. (2019); OECD (2022)
